sample_name	filename	metabolomics_well_position	metabolomics_injection_number	metabolomics_instrument	metabolomics_LC_description	metabolomics_dilution_factor	metabolomics_extraction_solvent	metabolomics_solvent_injected	metabolomics_notes	metabolomics_plate_number	run_prefix	blank_sample
10781.Cage36.male.WT.CDAA6	C18p_Plate2_BE4_01_10356.mzXML	BE4	10356	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage36.male.WT.CDAA7	C18p_Plate2_BE5_01_10357.mzXML	BE5	10357	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage36.male.WT.CDAA8	C18p_Plate2_BE6_01_10358.mzXML	BE6	10358	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage36.male.WT.CDAA9	C18p_Plate2_BE7_01_10359.mzXML	BE7	10359	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage37.male.CD1d.CSAA1	C18p_Plate2_BE8_01_10360.mzXML	BE8	10360	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage37.male.CD1d.CSAA2	C18p_Plate2_BE9_01_10361.mzXML	BE9	10361	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage37.male.CD1d.CSAA3	C18p_Plate2_BE10_01_10362.mzXML	BE10	10362	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage37.male.CD1d.CSAA4	C18p_Plate2_BE11_01_10363.mzXML	BE11	10363	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage37.male.CD1d.CSAA5	C18p_Plate2_BE12_01_10364.mzXML	BE12	10364	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage38.male.CD1d.CDAA1	C18p_Plate2_BF2_01_10368.mzXML	BF2	10368	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage38.male.CD1d.CDAA2	C18p_Plate2_BF3_01_10369.mzXML	BF3	10369	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage38.male.CD1d.CDAA3	C18p_Plate2_BF4_01_10370.mzXML	BF4	10370	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage38.male.CD1d.CDAA4	C18p_Plate2_BF5_01_10371.mzXML	BF5	10371	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage38.male.CD1d.CDAA5	C18p_Plate2_BF6_01_10372.mzXML	BF6	10372	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage39.male.WT.Alc1	C18p_Plate2_BF7_01_10373.mzXML	BF7	10373	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage39.male.WT.Alc2	C18p_Plate2_BF8_01_10374.mzXML	BF8	10374	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage39.male.WT.Alc3	C18p_Plate2_BF9_01_10375.mzXML	BF9	10375	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage39.male.WT.Alc4	C18p_Plate2_BF10_01_10376.mzXML	BF10	10376	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage39.male.WT.Alc5	C18p_Plate2_BF11_01_10377.mzXML	BF11	10377	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage4.female.WT10	C18p_Plate1_BB10_01_10204.mzXML	BB10	10204	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage4.female.WT6	C18p_Plate1_BB6_01_10200.mzXML	BB6	10200	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage4.female.WT7	C18p_Plate1_BB7_01_10201.mzXML	BB7	10201	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage4.female.WT8	C18p_Plate1_BB8_01_10202.mzXML	BB8	10202	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage4.female.WT9	C18p_Plate1_BB9_01_10203.mzXML	BB9	10203	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage40.male.WT.Alc.M1	C18p_Plate2_BF12_01_10378.mzXML	BF12	10378	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage40.male.WT.Alc.M2	C18p_Plate2_BG2_01_10382.mzXML	BG2	10382	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage40.male.WT.Alc.M3	C18p_Plate2_BG3_01_10383.mzXML	BG3	10383	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage40.male.WT.Alc.M4	C18p_Plate2_BG4_01_10386.mzXML	BG4	10386	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage40.male.WT.Alc.M5	C18p_Plate2_BG5_01_10387.mzXML	BG5	10387	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage41.female.CD1d5	C18p_Plate2_BG6_01_10388.mzXML	BG6	10388	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage41.female.CD1d6	C18p_Plate2_BG7_01_10389.mzXML	BG7	10389	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage41.female.CD1d7	C18p_Plate2_BG8_01_10390.mzXML	BG8	10390	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage42.male.CD1d6	C18p_Plate2_BG9_01_10391.mzXML	BG9	10391	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage43.male.Qa18	C18p_Plate2_BG10_01_10392.mzXML	BG10	10392	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage43.male.Qa19	C18p_Plate2_BG11_01_10393.mzXML	BG11	10393	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage44.female.Qa11	C18p_Plate2_BG12_01_10394.mzXML	BG12	10394	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage44.female.Qa12	C18p_Plate2_BH2_01_10398.mzXML	BH2	10398	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage44.female.Qa13	C18p_Plate2_BH3_01_10399.mzXML	BH3	10399	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage45.male.Qa20	C18p_Plate2_BH4_01_10400.mzXML	BH4	10400	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage45.male.Qa21	C18p_Plate2_BH5_01_10401.mzXML	BH5	10401	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage45.male.Qa22	C18p_Plate2_BH6_01_10402.mzXML	BH6	10402	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage46.female.Qa14	C18p_Plate2_BH7_01_10403.mzXML	BH7	10403	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage47.male.Qa23	C18p_Plate2_BH8_01_10404.mzXML	BH8	10404	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage47.male.Qa24	C18p_Plate2_BH9_01_10405.mzXML	BH9	10405	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage47.male.Qa25	C18p_Plate2_BH10_01_10406.mzXML	BH10	10406	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage47.male.Qa26	C18p_Plate2_BH11_01_10407.mzXML	BH11	10407	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage48.male.Qa27	C18p_Plate2_BH12_01_10408.mzXML	BH12	10408	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage48.male.Qa28	C18p_Plate3_GA2_01_10481.mzXML	GA2	10481	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage48.male.Qa29	C18p_Plate3_GA3_01_10482.mzXML	GA3	10482	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage48.male.Qa30	C18p_Plate3_GA4_01_10483.mzXML	GA4	10483	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage49.female.Qa15	C18p_Plate3_GA5_01_10484.mzXML	GA5	10484	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage49.female.Qa16	C18p_Plate3_GA6_01_10485.mzXML	GA6	10485	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage49.female.Qa17	C18p_Plate3_GA7_01_10486.mzXML	GA7	10486	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage49.female.Qa18	C18p_Plate3_GA8_01_10487.mzXML	GA8	10487	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage5.female.WT11	C18p_Plate1_BB11_01_10205.mzXML	BB11	10205	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage50.female.Qa19	C18p_Plate3_GA9_01_10488.mzXML	GA9	10488	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage50.female.Qa20	C18p_Plate3_GA10_01_10489.mzXML	GA10	10489	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage50.female.Qa21	C18p_Plate3_GA11_01_10490.mzXML	GA11	10490	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage50.female.Qa22	C18p_Plate3_GA12_01_10491.mzXML	GA12	10491	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage50.female.Qa23	C18p_Plate3_GB2_01_10495.mzXML	GB2	10495	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage51.female.Qa24	C18p_Plate3_GB3_01_10496.mzXML	GB3	10496	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage51.female.Qa25	C18p_Plate3_GB4_01_10497.mzXML	GB4	10497	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage51.female.Qa26	C18p_Plate3_GB5_01_10498.mzXML	GB5	10498	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage52.male.Qa32	C18p_Plate3_GB7_01_10500.mzXML	GB7	10500	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage52.male.Qa33	C18p_Plate3_GB8_01_10501.mzXML	GB8	10501	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage53.female.Qa27	C18p_Plate3_GB6_01_10499.mzXML	GB6	10499	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage54.female.Qa28	C18p_Plate3_GB9_01_10502.mzXML	GB9	10502	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage55.male.Qa33	C18p_Plate3_GB10_01_10503.mzXML	GB10	10503	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage56.female.Qa29	C18p_Plate3_GB11_01_10504.mzXML	GB11	10504	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage56.female.Qa30	C18p_Plate3_GB12_01_10505.mzXML	GB12	10505	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage56.female.Qa31	C18p_Plate3_GC2_01_10509.mzXML	GC2	10509	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage57.female.WT14	C18p_Plate3_GC3_01_10510.mzXML	GC3	10510	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage57.female.WT15	C18p_Plate3_GC4_01_10511.mzXML	GC4	10511	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage57.female.WT16	C18p_Plate3_GC5_01_10512.mzXML	GC5	10512	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage57.female.WT17	C18p_Plate3_GC6_01_10513.mzXML	GC6	10513	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage58.female.WT18	C18p_Plate3_GC7_01_10514.mzXML	GC7	10514	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage58.female.WT19	C18p_Plate3_GC8_01_10515.mzXML	GC8	10515	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage58.female.WT20	C18p_Plate3_GC9_01_10516.mzXML	GC9	10516	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage58.female.WT21	C18p_Plate3_GC10_01_10517.mzXML	GC10	10517	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage59.female.WT22	C18p_Plate3_GC11_01_10518.mzXML	GC11	10518	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage59.female.WT23	C18p_Plate3_GC12_01_10519.mzXML	GC12	10519	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage59.female.WT24	C18p_Plate3_GD2_01_10523.mzXML	GD2	10523	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage59.female.WT25	C18p_Plate3_GD3_01_10524.mzXML	GD3	10524	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage6.male.WT11	C18p_Plate1_BB12_01_10206.mzXML	BB12	10206	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage6.male.WT12	C18p_Plate1_BC2_01_10210.mzXML	BC2	10210	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage6.male.WT13	C18p_Plate1_BC3_01_10211.mzXML	BC3	10211	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage6.male.WT14	C18p_Plate1_BC4_01_10212.mzXML	BC4	10212	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage6.male.WT15	C18p_Plate1_BC5_01_10213.mzXML	BC5	10213	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage60.male.WT32	C18p_Plate3_GD4_01_10525.mzXML	GD4	10525	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage60.male.WT33	C18p_Plate3_GD5_01_10526.mzXML	GD5	10526	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage61.male.WT34	C18p_Plate3_GD6_01_10527.mzXML	GD6	10527	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage61.male.WT35	C18p_Plate3_GD7_01_10528.mzXML	GD7	10528	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage62.male.ST.Alc1	C18p_Plate3_GD12_01_10533.mzXML	GD12	10533	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage62.male.ST.Alc2	C18p_Plate3_GE2_01_10537.mzXML	GE2	10537	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage62.male.ST.Alc3	C18p_Plate3_GE3_01_10538.mzXML	GE3	10538	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage62.male.ST.Alc4	C18p_Plate3_GE4_01_10539.mzXML	GE4	10539	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage62.male.ST1	C18p_Plate3_GD8_01_10529.mzXML	GD8	10529	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage62.male.ST2	C18p_Plate3_GD9_01_10530.mzXML	GD9	10530	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage62.male.ST3	C18p_Plate3_GD10_01_10531.mzXML	GD10	10531	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage62.male.ST4	C18p_Plate3_GD11_01_10532.mzXML	GD11	10532	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate3		sample
10781.Cage7.female.CD1d1	C18p_Plate1_BC6_01_10214.mzXML	BC6	10214	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage7.female.CD1d2	C18p_Plate1_BC7_01_10215.mzXML	BC7	10215	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage7.female.CD1d3	C18p_Plate1_BC8_01_10216.mzXML	BC8	10216	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage7.female.CD1d4	C18p_Plate1_BC9_01_10217.mzXML	BC9	10217	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage8.male.CD1d1	C18p_Plate1_BC10_01_10218.mzXML	BC10	10218	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage9.female.Qa1	C18p_Plate1_BC11_01_10219.mzXML	BC11	10219	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage9.female.Qa2	C18p_Plate1_BC12_01_10220.mzXML	BC12	10220	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage9.female.Qa3	C18p_Plate1_BD2_01_10224.mzXML	BD2	10224	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage9.female.Qa4	C18p_Plate1_BD3_01_10225.mzXML	BD3	10225	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Blank.No.Inj.10173	Blank_NoInj_BA1_01_10173.mzXML	BA1	10173	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Blank		blank
10781.Blank.No.Inj.10179	Blank_NoInj_BA1_01_10179.mzXML	BA1	10179	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Blank		blank
10781.Blank.No.Inj.10194	Blank_NoInj_BA1_01_10194.mzXML	BA1	10194	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Blank		blank
10781.Blank.No.Inj.10208	Blank_NoInj_BA1_01_10208.mzXML	BA1	10208	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Blank		blank
10781.Blank.No.Inj.10222	Blank_NoInj_BA1_01_10222.mzXML	BA1	10222	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Blank		blank
10781.Blank.No.Inj.10236	Blank_NoInj_BA1_01_10236.mzXML	BA1	10236	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Blank		blank
